focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
pippa,masya,0,female,female,24.58042437,22.58179329
taylor,masya,0,female,female,8.873374401,22.58179329
tess,masya,0.25,female,female,15.58110883,22.58179329
trixie,masya,0,female,female,23.58110883,22.58179329
violet,masya,0,female,female,22.58179329,22.58179329
zsabu,masya,0.5,male,female,23.58110883,22.58179329
moyo,mike,0,male,male,5.963039014,15.58110883
nina,mike,0,female,male,10.36550308,15.58110883
noel,mike,0.125,female,male,36.58042437,15.58110883
pan,mike,0.4,male,male,24.58042437,15.58110883
pippa,mike,0.090909091,female,male,24.58042437,15.58110883
taylor,mike,0,female,male,8.873374401,15.58110883
tess,mike,0,female,male,15.58110883,15.58110883
trixie,mike,0.166666667,female,male,23.58110883,15.58110883
violet,mike,0.2,female,male,22.58179329,15.58110883
zsabu,mike,0.142857143,male,male,23.58110883,15.58110883
nina,moyo,0,female,male,10.36550308,5.963039014
noel,moyo,0.166666667,female,male,36.58042437,5.963039014
pan,moyo,0,male,male,24.58042437,5.963039014
pippa,moyo,0,female,male,24.58042437,5.963039014
taylor,moyo,0,female,male,8.873374401,5.963039014
tess,moyo,0,female,male,15.58110883,5.963039014
trixie,moyo,0,female,male,23.58110883,5.963039014
violet,moyo,0,female,male,22.58179329,5.963039014
zsabu,moyo,0,male,male,23.58110883,5.963039014
noel,nina,0.285714286,female,female,36.58042437,10.36550308
pan,nina,0,male,female,24.58042437,10.36550308
pippa,nina,0,female,female,24.58042437,10.36550308
taylor,nina,0,female,female,8.873374401,10.36550308
tess,nina,0,female,female,15.58110883,10.36550308
trixie,nina,0,female,female,23.58110883,10.36550308
